試行回数	ノード	ノード間距離
760	796	0.0
761	778	0.0
762	874	0.0
763	715	0.0
764	757	0.0
765	740	0.0
766	1052	0.0
767	790	0.0
768	573	0.0
769	639	0.0
770	855	0.0
771	785	0.0
772	744	0.0
773	843	0.0
774	678	0.0
775	422	0.0
776	750	0.0
777	847	0.0
778	686	0.0
779	985	0.0
780	798	0.0
781	490	0.0
782	733	0.0
783	788	0.0
784	623	0.0
785	1106	0.0
786	835	0.0
787	1268	0.0
788	242	0.0
789	829	0.0
790	647	0.0
791	912	0.0
792	542	0.0
793	931	0.0
794	705	0.0
795	768	0.0
796	655	0.0
797	1205	0.0
798	753	0.0
799	679	0.0
800	649	0.0
801	872	0.0
802	889	0.0
803	859	0.0
804	718	0.0
805	947	0.0
806	1154	0.0
807	879	0.0
808	710	0.0
809	856	0.0
810	1164	0.0
811	437	0.0
812	953	0.0
813	765	0.0
814	663	0.0
815	775	0.0
816	1044	0.0
817	981	0.0
818	651	0.0
819	807	0.0
820	631	0.0
821	535	0.0
822	826	0.0
823	975	0.0
824	600	0.0
825	475	0.0
826	571	0.0
827	727	0.0
828	940	0.0
829	1093	0.0
830	1129	0.0
831	551	0.0
832	822	0.0
833	1109	0.0
834	683	0.0
835	642	0.0
836	795	0.0
837	1030	0.0
838	926	0.0
839	821	0.0
840	606	0.0
841	641	0.0
842	613	0.0
843	389	0.0
844	948	0.0
845	828	0.0
846	758	0.0
847	836	0.0
848	726	0.0
849	762	0.0
850	866	0.0
851	698	0.0
852	766	0.0
853	957	0.0
854	1354	0.0
855	736	0.0
856	764	0.0
857	873	0.0
858	967	0.0
859	1000	0.0
860	633	0.0
861	1038	0.0
862	884	0.0
863	865	0.0
864	671	0.0
865	897	0.0
866	894	0.0
867	958	0.0
868	658	0.0
869	1040	0.0
870	868	0.0
871	814	0.0
872	725	0.0
873	690	0.0
874	659	0.0
875	1206	0.0
876	952	0.0
877	869	0.0
878	923	0.0
879	862	0.0
880	1097	0.0
881	1131	0.0
882	730	0.0
883	812	0.0
884	1332	0.0
885	991	0.0
886	810	0.0
887	853	0.0
888	924	0.0
889	645	0.0
890	721	0.0
891	652	0.0
892	890	0.0
893	773	0.0
894	1064	0.0
895	911	0.0
896	963	0.0
897	827	0.0
898	772	0.0
899	1098	0.0
900	1065	0.0
901	751	0.0
902	714	0.0
903	929	0.0
904	917	0.0
905	1176	0.0
906	892	0.0
907	840	0.0
908	942	0.0
909	927	0.0
910	932	0.0
911	1072	0.0
912	723	0.0
913	1018	0.0
914	944	0.0
915	920	0.0
916	1007	0.0
917	913	0.0
918	1033	0.0
919	824	0.0
920	1139	0.0
921	870	0.0
922	993	0.0
923	906	0.0
924	677	0.0
925	886	0.0
926	1337	0.0
927	1013	0.0
928	657	0.0
929	1183	0.0
930	999	0.0
931	900	0.0
932	1069	0.0
933	1166	0.0
934	831	0.0
935	882	0.0
936	712	0.0
937	1321	0.0
938	784	0.0
939	1048	0.0
940	935	0.0
941	771	0.0
942	1101	0.0
943	800	0.0
944	832	0.0
945	885	0.0
946	830	0.0
947	846	0.0
948	1118	0.0
949	624	0.0
950	888	0.0
951	857	0.0
952	664	0.0
953	1250	0.0
